"","X0477.IgAneg","X0477.IgApos","X0477.IgGneg","X0477.IgGpos","X0477.pre","X7313.IgAneg","X7313.IgApos","X7313.IgGneg","X7313.IgGpos","X7313.pre","X9329.IgAneg","X9329.IgApos","X9329.IgGneg","X9329.IgGpos","X9329.pre","X8489.IgApos","X6095.IgApos","X6095.IgAneg","X6095.pre","X6095.IgGpos","X8489.IgAneg","X6095.IgGneg","X8489.pre","X8489.IgGpos","X8489.IgGneg","X1275.IgApos","X1275.IgAneg","X1275.pre","X9366.IgApos","X9366.IgAneg","X9366.pre","X9366.IgGpos","X9366.IgGneg","X1275.IgGpos","X1275.IgGneg","X2225.IgApos","X2225.IgAneg","X2225.pre","X2225.IgGpos","X2225.IgGneg","X4608.IgApos","X4608.IgAneg","X4608.pre","X4608.IgGpos","X4608.IgGneg","X8296.IgApos","X8296.IgAneg","X8296.pre","X8296.IgGpos","X8296.IgGneg","X3124.IgApos","X3124.IgAneg","X8531.IgApos","X8531.IgAneg","X8531.pre","X8531.IgGpos","X3124.pre","X8531.IgGneg","X3124.IgGpos","X3124.IgGneg"
"ASV36",0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,207,131,0,26,100,12,0,121,251,84,16,0,0,465,39,77,231,47,4,0,11,24,13,3,13,0,0,0,0,0,135,12,89,152,37,0,26,0,0,0,0,14,0,13,30
"ASV37",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,370,294,0,0,0,0,0,1318,115,137,267,283,101,322,75,57,69,103,73,2,6,0,0,2,284,655,0,0,0,0,536,0,1039,512
"ASV38",0,2,0,0,0,131,42,151,36,110,0,0,0,3,0,3,309,24,126,325,0,21,2,3,0,19,15,12,0,0,0,0,0,25,14,20,24,29,26,27,101,10,49,229,34,9,0,0,15,0,76,21,20,130,62,21,34,129,37,40
"ASV39",8,21,18,11,27,19,26,17,16,19,0,0,0,0,0,9,36,142,109,45,224,113,133,8,90,102,38,57,21,102,147,8,91,38,19,22,13,20,43,12,38,176,142,26,87,141,81,84,158,75,23,62,4,4,1,0,71,1,54,55
"ASV40",32,15,34,12,32,6,9,7,2,16,64,4,117,3,44,0,0,0,0,0,0,0,0,0,0,25,0,5,95,12,38,109,19,24,0,68,15,43,66,19,52,0,8,72,0,4,8,7,0,9,75,0,20,34,32,10,21,35,96,0
"ASV41",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276,40,0,12,16,84,0,236,167,172,61,61,47,10,7,0,11,0,24,64,66,22,59,68,16,11,0,0,8,0,0,0,0,0,0,74,95,210,61,107,0,130,135,62,88
"ASV42",0,0,0,0,0,0,0,0,0,5,26,9,10,39,46,6,39,0,8,42,2,0,2,11,3,272,2,18,115,29,34,299,2,206,0,19,33,0,12,13,37,5,7,34,13,0,0,0,0,0,68,23,0,0,0,0,33,0,169,33
"ASV43",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,440,1156,1558,367,0,1171,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,441,616,419,364,385,0,0,0,0,0,11,16,0,0,0,0,32,0,15,16
"ASV44",0,0,0,0,0,168,159,28,423,173,476,33,0,836,386,41,20,4,11,103,17,0,37,323,0,32,14,23,71,39,71,82,36,96,5,22,10,14,18,7,19,1,16,51,2,63,16,27,202,14,42,1,0,0,0,0,23,0,53,2
"ASV45",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,12,0,0,147,15,99,50,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
